,pic,time_spend,compact_rate,MSE
0,airplane00.tif,0.5762827396392822,0.0541,21.0832
1,airplane01.tif,0.48470354080200195,0.0519,33.4219
2,airplane02.tif,0.48589634895324707,0.0519,33.4219
3,airplane03.tif,0.5056612491607666,0.0571,36.3646
4,airplane04.tif,0.5203001499176025,0.0559,36.8057
5,airplane05.tif,0.5156891345977783,0.0547,50.5517
6,airplane06.tif,0.5464513301849365,0.0578,37.6763
7,airplane07.tif,0.49887919425964355,0.0548,29.7063
8,airplane08.tif,0.5344398021697998,0.0575,40.1129
9,airplane09.tif,0.5234036445617676,0.0569,43.6661
10,airplane10.tif,0.5251681804656982,0.0584,44.6621
11,airplane11.tif,0.5277867317199707,0.0583,41.8832
12,airplane12.tif,0.5324969291687012,0.0524,26.2088
13,airplane13.tif,0.5191676616668701,0.0549,32.7731
14,airplane14.tif,0.5343258380889893,0.0553,19.0138
15,airplane15.tif,0.5062744617462158,0.0539,31.9019
16,airplane16.tif,0.5250434875488281,0.0592,45.2823
17,airplane17.tif,0.5692782402038574,0.0611,29.84
18,airplane18.tif,0.5705265998840332,0.0583,32.0873
19,airplane19.tif,0.3784165382385254,0.0558,25.9906
20,airplane20.tif,0.4360783100128174,0.0582,26.2259
21,airplane21.tif,0.452970027923584,0.061,33.9628
22,airplane22.tif,0.33131933212280273,0.0535,14.0067
23,airplane23.tif,0.4087221622467041,0.0617,34.4348
24,airplane24.tif,0.43992185592651367,0.0551,27.2785
25,airplane25.tif,0.5619707107543945,0.0548,27.9738
26,airplane26.tif,0.46483349800109863,0.0618,30.9555
27,airplane27.tif,0.410003662109375,0.0605,28.2506
28,airplane28.tif,0.40767550468444824,0.0585,24.0312
29,airplane29.tif,0.4238567352294922,0.0598,25.3711
30,airplane30.tif,0.4120323657989502,0.0623,36.1486
31,airplane31.tif,0.34665417671203613,0.0528,21.2252
32,airplane32.tif,0.3905162811279297,0.0568,21.5548
33,airplane33.tif,0.4227144718170166,0.0555,21.2038
34,airplane34.tif,0.46024084091186523,0.0582,20.4693
35,airplane35.tif,0.4683253765106201,0.0544,20.7822
36,airplane36.tif,0.6450119018554688,0.0556,19.4298
37,airplane37.tif,0.43891191482543945,0.054,21.9364
38,airplane38.tif,0.46440887451171875,0.0572,26.0595
39,airplane39.tif,0.4847092628479004,0.0581,34.7355
40,airplane40.tif,0.45699429512023926,0.0592,38.2282
41,airplane41.tif,0.4584341049194336,0.0617,39.0819
42,airplane42.tif,0.45754003524780273,0.0593,39.34
43,airplane43.tif,0.4305691719055176,0.0596,34.8957
44,airplane44.tif,0.4405097961425781,0.0522,20.055
45,airplane45.tif,0.4676094055175781,0.0581,28.1783
46,airplane46.tif,0.4539659023284912,0.0612,46.5665
47,airplane47.tif,0.4212679862976074,0.06,33.2531
48,airplane48.tif,0.498488187789917,0.0674,48.7712
49,airplane49.tif,0.4342620372772217,0.0671,41.0753
50,airplane50.tif,0.46012330055236816,0.0641,39.548
